date,"Nominal GDP ($ billions, quarterly, SAAR)"
1995-01-01,7522.289
1995-04-01,7580.997
1995-07-01,7683.125
1995-10-01,7772.586
1996-01-01,7868.468
1996-04-01,8032.84
1996-07-01,8131.408
1996-10-01,8259.771
1997-01-01,8362.655
1997-04-01,8518.825
1997-07-01,8662.823
1997-10-01,8765.907
1998-01-01,8866.48
1998-04-01,8969.699
1998-07-01,9121.097
1998-10-01,9293.991
1999-01-01,9411.682
1999-04-01,9526.21
1999-07-01,9686.626
1999-10-01,9900.169
2000-01-01,10002.179
2000-04-01,10247.72
2000-07-01,10318.165
2000-10-01,10435.744
2001-01-01,10470.231
2001-04-01,10599.0
2001-07-01,10598.02
2001-10-01,10660.465
2002-01-01,10783.5
2002-04-01,10887.46
2002-07-01,10984.04
2002-10-01,11061.433
2003-01-01,11174.129
2003-04-01,11312.766
2003-07-01,11566.669
2003-10-01,11772.234
2004-01-01,11923.447
2004-04-01,12112.815
2004-07-01,12305.307
2004-10-01,12527.214
2005-01-01,12767.286
2005-04-01,12922.656
2005-07-01,13142.642
2005-10-01,13324.204
2006-01-01,13599.16
2006-04-01,13753.424
2006-07-01,13870.188
2006-10-01,14039.56
2007-01-01,14215.651
2007-04-01,14402.082
2007-07-01,14564.117
2007-10-01,14715.058
2008-01-01,14706.538
2008-04-01,14865.701
2008-07-01,14898.999
2008-10-01,14608.209
2009-01-01,14430.902
2009-04-01,14381.236
2009-07-01,14448.882
2009-10-01,14651.249
2010-01-01,14764.61
2010-04-01,14980.193
2010-07-01,15141.607
2010-10-01,15309.474
2011-01-01,15351.448
2011-04-01,15557.539
2011-07-01,15647.68
2011-10-01,15842.259
2012-01-01,16068.805
2012-04-01,16207.115
2012-07-01,16319.541
2012-10-01,16420.419
2013-01-01,16648.189
2013-04-01,16728.687
2013-07-01,16953.838
2013-10-01,17192.019
2014-01-01,17197.738
2014-04-01,17518.508
2014-07-01,17804.228
2014-10-01,17912.079
2015-01-01,18063.529
2015-04-01,18279.784
2015-07-01,18401.626
2015-10-01,18435.137
2016-01-01,18525.933
2016-04-01,18711.702
2016-07-01,18892.639
2016-10-01,19089.379
2017-01-01,19280.084
2017-04-01,19438.643
2017-07-01,19692.595
2017-10-01,20037.088
2018-01-01,20328.553
2018-04-01,20580.912
2018-07-01,20798.73
2018-10-01,20917.867
2019-01-01,21111.6
2019-04-01,21397.938
2019-07-01,21717.171
2019-10-01,21933.217
2020-01-01,21751.238
2020-04-01,19958.291
2020-07-01,21704.437
2020-10-01,22087.16
2021-01-01,22680.693
2021-04-01,23425.91
2021-07-01,23982.379
2021-10-01,24813.6
2022-01-01,25250.347
2022-04-01,25861.292
2022-07-01,26336.304
2022-10-01,26770.514
2023-01-01,27216.445
2023-04-01,27530.055
2023-07-01,28074.846
2023-10-01,28424.722
2024-01-01,28708.161
2024-04-01,29147.044
2024-07-01,29511.664
2024-10-01,29825.182
2025-01-01,30042.113
2025-04-01,30485.729
2025-07-01,31098.027
2025-10-01,31422.526
2026-01-01,31856.257
